DatTime,MediaTime,LonAccel,LatAccel,Throttle,Brake,Gear,Heading,HeadwayDistance,HeadwayTime,Lane,LaneOffset,RoadOffset,Steer,Velocity,XPos,YPos,LeadVehPosX,LeadVehPosY,FollowCarBrakingStatus
3.557,4.166663,1.1e-05,-8.5e-06,1.308809,62.0136355,2,359.999314,91.042603,10000.0,2.0,0.02168,5.42168,-0.0075725,-5e-07,-741.042603,14.521678,2.310232,1629.744985,0.0
3.5905,4.199996,1.1e-05,-6.5000000000000004e-06,1.308809,62.333469,2,359.999312,91.042603,10000.0,2.0,0.02168,5.42168,-0.0075855,-2e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.624,4.233329,9e-06,-3e-06,1.308809,62.333469,2,359.99931349999997,91.042603,10000.0,2.0,0.02168,5.42168,-0.0075975,-1.5e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.657,4.266662,6e-06,0.0,1.2670895,62.333469,2,359.9993165,91.042603,348142192.745852,2.0,0.02168,5.42168,-0.0076089999999999994,-5e-07,-741.042603,14.521678,2.310232,1629.744985,0.0
3.6905,4.299996,3.5e-06,2.4999999999999998e-06,1.22537,62.333469,2,359.9993185,91.042603,96843694.72544101,2.0,0.02168,5.42168,-0.0076194999999999995,1e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.724,4.333329,1e-06,4e-06,1.22537,62.333469,2,359.999319,91.042603,74571017.7488175,2.0,0.02168,5.42168,-0.0076305,1e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.757,4.366662,-5e-07,5e-06,1.2670895,62.333469,2,359.9993175,91.042603,469707309.1951965,2.0,0.02168,5.42168,-0.0076395000000000005,5e-07,-741.042603,14.521678,2.310232,1629.744985,0.0
3.79,4.399996,-1e-06,5e-06,1.308809,62.333469,2,359.9993155,91.042603,10000.0,2.0,0.02168,5.42168,-0.0076495,-1e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.824,4.433329,-1e-06,5e-06,1.308809,62.333469,2,359.9993145,91.042603,10000.0,2.0,0.02168,5.42168,-0.007658,-2e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.857,4.466662,-1e-06,5e-06,1.308809,62.333469,2,359.999314,91.042603,10000.0,2.0,0.02168,5.42168,-0.007667,-2e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.89,4.499995,-5e-07,4e-06,1.308809,62.333469,2,359.999315,91.042603,10000.0,2.0,0.02168,5.42168,-0.0076749999999999995,-1e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.924,4.533329,5e-07,4e-06,1.308809,62.333469,2,359.9993165,91.042603,244521398.1792395,2.0,0.02168,5.42168,-0.007683000000000001,0.0,-741.042603,14.521678,2.310232,1629.744985,0.0
3.957,4.566662,2.4999999999999998e-06,3.5e-06,1.308809,62.0136355,2,359.999317,91.042603,147739545.4367755,2.0,0.02168,5.42168,-0.0076925,1e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
3.9905,4.599995,3e-06,2.4999999999999998e-06,1.308809,61.693802,2,359.999317,91.042603,134780894.0470185,2.0,0.02168,5.42168,-0.0076974999999999995,1e-06,-741.042603,14.521678,2.310232,1629.744985,0.0
